"date","sales","price","mortgage_rate","income","unrate","permit","months_supply","construction_cost","housing_starts","under_construction","log_sales","log_price","log_income","log_permit","log_construction_cost","log_starts","log_under_construction","trend","trend2","month"
2012-07-01,369,237400,3.55,12999.8,8.2,849,4.6,206.2,740,490,5.91079664404053,12.3775017611577,9.47268925170994,6.74405918631135,5.32884657158286,6.60665018619822,6.19440539110467,151,22801,"07"
2012-08-01,375,253200,3.602,12961.6,8.1,840,4.6,205.5,754,495,5.92692602597041,12.4419349692522,9.46974641907623,6.73340189183736,5.32544603393629,6.62539236800796,6.20455776256869,152,23104,"08"
2012-09-01,385,254600,3.4975,13053.1,7.8,930,4.5,206.6,847,511,5.95324333428778,12.4474489651054,9.47678093243353,6.8351845861473,5.33078455668554,6.74170069465205,6.2363695902037,153,23409,"09"
2012-10-01,358,247200,3.3825,13142,7.8,887,4.9,205.5,915,520,5.8805329864007,12.4179530045657,9.48356848745781,6.78784498230958,5.32544603393629,6.81892406527552,6.25382881157547,154,23716,"10"
2012-11-01,392,245000,3.352,13315.7,7.7,917,4.6,205.6,833,534,5.97126183979046,12.4090134895269,9.49669906915305,6.82110747225646,5.32593253358101,6.72503364216684,6.2803958389602,155,24025,"11"
2012-12-01,399,258300,3.345,13642.7,7.9,941,4.5,206.4,976,551,5.98896141688986,12.4618769790839,9.52095985902256,6.84694313958538,5.32981603360741,6.88346258641309,6.31173480915291,156,24336,"12"
2013-01-01,446,251500,3.414,12845.5,8,940,4,208.4,888,559,6.10031895202006,12.4351982685219,9.4607488344384,6.84587987526405,5.33945930987921,6.78897174299217,6.3261494731551,157,24649,"01"
2013-02-01,447,265100,3.5325,12813.9,7.7,980,4.1,209.1,962,581,6.10255859461357,12.4878623922771,9.4582857982041,6.88755257166462,5.34281260643459,6.86901445066571,6.36475075685191,158,24964,"02"
2013-03-01,444,257500,3.565,12852.1,7.5,936,4.2,209.8,1010,596,6.09582456243222,12.4587749990859,9.46126250109561,6.84161547647759,5.3461546959622,6.9177056098353,6.39024066706535,159,25281,"03"
2013-04-01,441,279300,3.445,12893.4,7.6,1012,4.4,210.7,835,606,6.08904487544685,12.5400417519333,9.46447083151657,6.91968384984741,5.35043532081014,6.72743172485086,6.40687998606931,160,25600,"04"
2013-05-01,428,263700,3.536,12954.2,7.5,1003,4.6,209.5,930,620,6.0591231955818,12.4825673723414,9.46917533887024,6.91075078796194,5.34472373936219,6.8351845861473,6.42971947803914,161,25921,"05"
2013-06-01,470,259800,4.07,12955.7,7.5,942,4.1,208.8,839,629,6.1527326947041,12.4676673832186,9.46929112472829,6.84800527457636,5.34137685600848,6.73221070646721,6.44413125670044,162,26244,"06"
2013-07-01,375,262200,4.37,12941.8,7.3,997,5.5,208.3,880,640,5.92692602597041,12.4768628503117,9.46821766193576,6.90475076996184,5.33897934826693,6.77992190747225,6.46146817635372,163,26569,"07"
2013-08-01,381,255300,4.456,12969.6,7.2,964,5.5,208.9,917,654,5.9427993751267,12.4501946032296,9.47036343643399,6.87109129461055,5.34185566856252,6.82110747225646,6.4831073514572,164,26896,"08"
2013-09-01,403,269800,4.49,13027.5,7.2,1004,5.4,208.9,850,661,5.99893656194668,12.5054362227558,9.47481778678337,6.91174730025167,5.34185566856252,6.74523634948436,6.49375383985169,165,27225,"09"
2013-10-01,444,264300,4.192,12974.6,7.2,1044,4.9,209.3,925,670,6.09582456243222,12.4848401005924,9.4707488790425,6.95081476844258,5.34376862945195,6.82979373751242,6.50727771238501,166,27556,"10"
2013-11-01,446,277100,4.255,12998.9,6.9,1029,5,209.8,1100,687,6.10031895202006,12.5321337308511,9.47262001747898,6.93634273583405,5.3461546959622,7.00306545878646,6.53233429222235,167,27889,"11"
2013-12-01,433,275500,4.4575,13019.1,6.7,1005,5.2,209.8,1002,707,6.07073772800249,12.5263429075751,9.47417278894939,6.91274282049318,5.3461546959622,6.90975328164481,6.56103066589657,168,28224,"12"
2014-01-01,443,269800,4.432,13079.5,6.6,976,5.1,211.7,888,713,6.09356977004514,12.5054362227558,9.47880139798085,6.88346258641309,5.35517017814082,6.78897174299217,6.5694814204143,169,28561,"01"
2014-02-01,420,268400,4.3025,13148,6.7,1039,5.3,212.7,944,714,6.04025471127741,12.5002336840797,9.48402493478411,6.94601399109923,5.35988272220619,6.8501261661455,6.57088296233958,170,28900,"02"
2014-03-01,405,282300,4.3425,13219.9,6.7,1067,5.6,213.4,970,726,6.00388706710654,12.5507256142416,9.48947854908055,6.97260625130175,5.36316833886765,6.87729607149743,6.5875500148248,171,29241,"03"
